#show system processes extensive | no-more

last pid:  3786;  load averages:  0.03,  0.09,  0.12  up 0+00:29:40    11:47:49
502 processes: 211 running, 271 sleeping, 1 zombie, 19 waiting

Mem: 397M Active, 228M Inact, 78M Wired, 19M Cache, 69M Buf, 16M Free
Swap: 6756M Total, 15M Used, 6741M Free


  PID USERNAME  THR PRI NICE   SIZE    RES STATE    TIME   WCPU COMMAND
 2562 root        1 123    0 10012K  3984K select   0:00  0.00% appidd
 2540 root        1  96    0  4900K  2540K select   0:00  0.00% fsad
 2550 root        1 108    0  6744K  3260K select   0:00  0.00% sendd
 2543 root        1  96    0  5244K  2640K select   0:00  0.00% pppd
 2535 root        1  96    0  5020K  2528K select   0:00  0.00% lmpd
 2523 root        1  96    0  3352K  1404K select   0:00  0.00% inetd
 2561 root        1  96    0  4880K  2480K select   0:00  0.00% mspd
 2554 root        1 110    0  7516K  2236K select   0:00  0.00% stats-agentd
 2513 root        1 118    0  1920K  1064K select   0:00  0.00% tnetd
  498 root        1  -8    0     0K    12K mdwait   0:00  0.00% md22
  802 root        1  -8    0     0K    12K mdwait   0:00  0.00% md38
  878 root        1  -8    0     0K    12K mdwait   0:00  0.00% md42
  308 root        1  -8    0     0K    12K mdwait   0:00  0.00% md12
  517 root        1  -8    0     0K    12K mdwait   0:00  0.00% md23
 2546 root        1 112    0  4992K  2452K select   0:00  0.00% oamd
  650 root        1  -8    0     0K    12K mdwait   0:00  0.00% md30
  612 root        1  -8    0     0K    12K mdwait   0:00  0.00% md28
  707 root        1  -8    0     0K    12K mdwait   0:00  0.00% md33
  631 root        1  -8    0     0K    12K mdwait   0:00  0.00% md29
 2539 root        1 115    0  3604K  1424K select   0:00  0.00% rtspd
  422 root        1  -8    0     0K    12K mdwait   0:00  0.00% md18
  384 root        1  -8    0     0K    12K mdwait   0:00  0.00% md16
  821 root        1  -8    0     0K    12K mdwait   0:00  0.00% md39
  365 root        1  -8    0     0K    12K mdwait   0:00  0.00% md15
  593 root        1  -8    0     0K    12K mdwait   0:00  0.00% md27
  403 root        1  -8    0     0K    12K mdwait   0:00  0.00% md17
  251 root        1  -8    0     0K    12K mdwait   0:00  0.00% md9
  270 root        1  -8    0     0K    12K mdwait   0:00  0.00% md10
  669 root        1  -8    0     0K    12K mdwait   0:00  0.00% md31
  840 root        1  -8    0     0K    12K mdwait   0:00  0.00% md40
  574 root        1  -8    0     0K    12K mdwait   0:00  0.00% md26
  688 root        1  -8    0     0K    12K mdwait   0:00  0.00% md32
  441 root        1  -8    0     0K    12K mdwait   0:00  0.00% md19
  536 root        1  -8    0     0K    12K mdwait   0:00  0.00% md24
  555 root        1  -8    0     0K    12K mdwait   0:00  0.00% md25
  479 root        1  -8    0     0K    12K mdwait   0:00  0.00% md21
  726 root        1  -8    0     0K    12K mdwait   0:00  0.00% md34
  327 root        1  -8    0     0K    12K mdwait   0:00  0.00% md13
  232 root        1  -8    0     0K    12K mdwait   0:00  0.00% md8
  859 root        1  -8    0     0K    12K mdwait   0:00  0.00% md41
  289 root        1  -8    0     0K    12K mdwait   0:00  0.00% md11
  764 root        1  -8    0     0K    12K mdwait   0:00  0.00% md36
  346 root        1  -8    0     0K    12K mdwait   0:00  0.00% md14
  745 root        1  -8    0     0K    12K mdwait   0:00  0.00% md35
  783 root        1  -8    0     0K    12K mdwait   0:00  0.00% md37
  460 root        1  -8    0     0K    12K mdwait   0:00  0.00% md20
    6 root        1   8    0     0K    12K -        0:00  0.00% kqueue taskq
 2536 root        1   8    0  1824K  1016K nanslp   0:00  0.00% smartd
  120 root        1  -8    0     0K    12K mdwait   0:00  0.00% md2
 2577 root        1   5    0  1808K   988K ttyin    0:00  0.00% getty
 2526 root        1 115    0  1828K   932K select   0:00  0.00% tnp.sntpd
    0 root        1 -16    0     0K     0K WAIT     0:00  0.00% swapper
 3760 root        1   8    0  1632K   604K nanslp   0:00  0.00% sleep
 3759 root        1   8    0  1632K   604K nanslp   0:00  0.00% sleep
 3758 root        1   8    0  1632K   604K nanslp   0:00  0.00% sleep
  196 root        1  -8    0     0K    12K mdwait   0:00  0.00% md6
   21 root        1 -68 -187     0K    12K WAIT     0:00  0.00% irq9: virtio_pci0+
   47 root        1 -16    0     0K    12K select   0:00  0.00% if_pfe_listen
   16 root        1 -12 -131     0K    12K WAIT     0:00  0.00% swi9: task queue
   51 root        1 -16    0     0K    12K select   0:00  0.00% if_pic_listen0
 2172 root        1 -16    0     0K    12K select   0:00  0.00% kresrsv
   50 root        1   4    0     0K    12K dump_r   0:00  0.00% kern_dump_proc
   52 root        1   4    0     0K    12K cb-pol   0:00  0.00% cb_poll
   59 root        1   8    0     0K    12K -        0:00  0.00% nfsiod 3
   56 root        1   8    0     0K    12K -        0:00  0.00% nfsiod 0
    5 root        1   8    0     0K    12K -        0:00  0.00% thread taskq
   57 root        1   8    0     0K    12K -        0:00  0.00% nfsiod 1
   58 root        1   8    0     0K    12K -        0:00  0.00% nfsiod 2
   44 root        1  96    0     0K    12K sleep    0:00  0.00% netdaemon
   37 root        1  20    0     0K    12K psleep   0:00  0.00% vmdaemon
   46 root        1  20    0     0K    12K condsl   0:00  0.00% delayedexecd
    7 root        1   8    0     0K    12K -        0:00  0.00% mastership taskq
   45 root        1   4    0     0K    12K purge_   0:00  0.00% kern_pir_proc
   48 root        1   4    0     0K    12K scs_ho   0:00  0.00% scs_housekeeping
   29 root        1 -16    0     0K    12K -        0:00  0.00% em7 taskq
    8 root        1 -16    0     0K    12K -        0:00  0.00% em0 taskq
   28 root        1 -16    0     0K    12K -        0:00  0.00% em6 taskq
    9 root        1 -16    0     0K    12K -        0:00  0.00% em1 taskq
   23 root        1 -16    0     0K    12K -        0:00  0.00% em2 taskq
   15 root        1 -12 -131     0K    12K WAIT     0:00  0.00% swi9: Giant taskq
   18 root        1 -16 -135     0K    12K WAIT     0:00  0.00% swi8: +
   12 root        1 -24 -143     0K    12K WAIT     0:00  0.00% swi6: vm
   17 root        1 -28 -147     0K    12K WAIT     0:00  0.00% swi5: cambio
   34 root        1 -32 -151     0K    12K WAIT     0:00  0.00% swi4: ip6mismatch+
   33 root        1 -36 -155     0K    12K WAIT     0:00  0.00% swi3: ip6opt ipopt
   35 root        1 -44 -163     0K    12K WAIT     0:00  0.00% swi1: ipfwd
   31 root        1 -60 -179     0K    12K WAIT     0:00  0.00% irq12: psm0
   30 root        1 -60 -179     0K    12K WAIT     0:00  0.00% irq1: atkbd0
   20 root        1 -64 -183     0K    12K WAIT     0:00  0.00% irq15: ata1
 3786 root        1  97    0 22956K  2116K RUN      0:00  0.00% top



