#show processes cpu platform sorted
No time source, *11:47:24.513 UTC Wed Nov 7 2018
CPU utilization for five seconds:  1%, one minute:  0%, five minutes:  1%
Core 0: CPU utilization for five seconds:  1%, one minute:  0%, five minutes:  1%
Core 1: CPU utilization for five seconds:  0%, one minute:  0%, five minutes:  0%
   Pid    PPid    5Sec    1Min    5Min  Status        Size  Name                  
  9864       1      0%      0%      0%  S          2187264  xinetd                
  9862       1      0%      0%      0%  S          2187264  xinetd                
  8568    7180      0%      0%      0%  S          1761280  inotifywait           
  8547       1      0%      0%      0%  S          4997120  rotee                 
  8509    7175      0%      0%      0%  S          1761280  inotifywait           
  8486       1      0%      0%      0%  S          4997120  rotee                 
  7795       1      0%      0%      0%  S          1650688  acpid                 
  7613       2      0%      0%      0%  S                0  lsmpi-rx              
  7612       2      0%      0%      0%  S                0  lsmpi-xmit            
  7611       2      0%      0%      0%  S                0  lsmpi-refill          
  7587       2      0%      0%      0%  S                0  loop0                 
  7399       1      0%      0%      0%  S          1789952  rpc.mountd            
  7397       2      0%      0%      0%  S                0  nfsd                  
  7396       2      0%      0%      0%  S                0  nfsd                  
  7395       2      0%      0%      0%  S                0  nfsd                  
  7394       2      0%      0%      0%  S                0  nfsd                  
  7393       2      0%      0%      0%  S                0  nfsd                  
  7392       2      0%      0%      0%  S                0  nfsd                  
  7391       2      0%      0%      0%  S                0  nfsd                  
  7390       2      0%      0%      0%  S                0  nfsd                  
  7389       2      0%      0%      0%  S                0  lockd                 
  7383       2      0%      0%      0%  S                0  rpciod/1              
  7382       2      0%      0%      0%  S                0  rpciod/0              
  7336       1      0%      0%      0%  S         21909504  automount             
  7180       1      0%      0%      0%  S          4661248  droputil.sh           
  7176       1      0%      0%      0%  S          5083136  bhytoolsd             
  7175       1      0%      0%      0%  S          4648960  reflector.sh          
  7166       1      0%      0%      0%  S          2560000  auxinit.sh            
  7159       1      0%      0%      0%  S          4157440  sshd                  
  6365       2      0%      0%      0%  S                0  flush-254:4           
  6311       2      0%      0%      0%  S                0  kcryptd               
  6310       2      0%      0%      0%  S                0  kcryptd               
  6309       2      0%      0%      0%  S                0  kcryptd_io            
  6308       2      0%      0%      0%  S                0  kcryptd_io            
  6307       2      0%      0%      0%  S                0  kdmflush              
  6306       2      0%      0%      0%  S                0  kcryptd               
  6305       2      0%      0%      0%  S                0  kdmflush              
  6304       2      0%      0%      0%  S                0  kcryptd_io            
  6300       2      0%      0%      0%  S                0  kdmflush              
  6279       2      0%      0%      0%  S                0  kcryptd               
  6278       2      0%      0%      0%  S                0  kcryptd               
  6274       2      0%      0%      0%  S                0  kcryptd_io            
  6273       2      0%      0%      0%  S                0  kcryptd_io            
  6268       2      0%      0%      0%  S                0  kdmflush              
  6267       2      0%      0%      0%  S                0  kdmflush              
  5101       1      0%      0%      0%  S          1773568  udevd                 
  3329       2      0%      0%      0%  S                0  loop1                 
  3220       1      0%      0%      0%  S          1810432  portmap               
  3218       1      0%      0%      0%  S          1810432  portmap               
  2540       2      0%      0%      0%  S                0  flush-8:0             
  2454       2      0%      0%      0%  S                0  scsi_eh_2             
  2436       2      0%      0%      0%  S                0  mpt/0                 
  2429       2      0%      0%      0%  S                0  mpt_poll_0            
  2040       2      0%      0%      0%  S                0  scsi_eh_1             
  2039       2      0%      0%      0%  S                0  scsi_eh_0             
  1266       2      0%      0%      0%  S                0  deferwq               
  1253       2      0%      0%      0%  S                0  usbhid_resumer        
  1221       2      0%      0%      0%  S                0  kstriped              
   386       2      0%      0%      0%  S                0  crypto/1              
   385       2      0%      0%      0%  S                0  crypto/0              
   362       2      0%      0%      0%  S                0  aio/1                 
